Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,42,143,228,17.15,152,0,248058174213,255778698410
20000000,20000346,20000346,1472,47,130,1769,24.62,119,0,130027078610,138027944588
50000000,50000660,50000660,1472,39,132,428,13.34,138,0,57697059493,67528320641
100000000,100001061,100000561,1472,20,182,533,93.56,139,0,33400921883,43913632765
200000000,200002155,199999155,1472,90,216,502,109.38,173,0,20283360349,32225158199
300000000,300003368,300001867,1472,101,294,561,109.88,291,0,16320626058,28292531013
400000000,400004091,400000091,1472,184,404,947,85.45,408,0,14311012043,26288678071
500000000,500004723,499997222,1472,390,676,910,88.11,677,0,12838252882,25077228595
600000000,600001577,600001577,1472,626,745,888,49.82,744,0,11538575341,24285013516
700000000,700001491,699997991,1472,645,738,853,35.47,738,0,10238380853,23814082952
800000000,800011411,800007411,1472,671,740,839,23.13,739,0,9168134734,23396700359
900000000,900007870,899998870,1472,701,748,821,11.58,747,0,7943587050,23059397247
1000000000,956922231,999994481,1472,1287,1331,1405,9.06,1332,0,7214769420,23003556104
