Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,27,132,276,20.40,149,0,248555011689,255792680321
20000000,20000340,20000340,1472,100,151,308,5.48,151,0,130587099219,138031487280
50000000,50000669,50000669,1472,17,130,427,12.81,136,0,58478312205,67541864649
100000000,100001135,100000635,1472,95,168,572,79.77,145,0,35121751878,43896154746
200000000,200002058,199999058,1472,73,210,523,110.40,156,0,20744978193,32227541083
300000000,300000453,300001953,1472,75,284,653,113.42,275,0,16792400502,28289155559
400000000,400001747,400001747,1472,193,376,662,88.11,380,0,15004003538,26289343881
500000000,499992648,499995148,1472,359,566,925,83.58,551,0,12936483686,25068544274
600000000,600013806,600001805,1472,636,750,912,49.64,750,0,11694516034,24283895722
700000000,700003000,699996000,1472,657,750,1045,37.50,751,0,10468799543,23814817843
800000000,800009101,800001101,1472,678,745,1153,24.06,744,0,9380113237,23392635080
900000000,900007268,899993768,1472,691,745,1322,15.62,746,0,8238967598,23069665963
1000000000,956666709,999992290,1472,1270,1325,1422,13.11,1328,0,7400453207,22880857514
