Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,17,131,383,20.20,126,0,248613627671,255786378917
20000000,20000346,20000346,1472,69,136,490,21.17,149,0,130784843305,138207093126
50000000,50000625,50000625,1472,9,164,596,87.28,135,0,58624226954,67542295442
100000000,100001687,100000687,1472,80,164,570,86.91,130,0,34568387892,43909483594
200000000,200003275,199998275,1472,73,213,531,107.31,153,0,21481581013,32226489594
300000000,300006013,300003013,1472,76,285,639,116.39,273,0,17082913668,28285644747
400000000,399999811,399999811,1472,175,373,689,84.27,384,0,14483346797,26285192518
500000000,500013505,499996005,1472,371,555,921,71.68,543,0,13030213992,25084541400
600000000,600004023,600001023,1472,635,749,911,50.01,749,0,11759127684,24282968948
700000000,700006537,699996036,1472,647,742,1033,37.07,748,0,10561037107,23814054079
800000000,800008219,800008219,1472,665,743,847,23.45,742,0,9553768767,23396335692
900000000,900005463,900000963,1472,712,748,1190,13.78,747,0,8566191409,23060270156
1000000000,957620039,999992044,1472,1302,1335,1415,8.19,1335,0,7932105453,23058304561
