Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,18,152,303,6.16,151,0,248676232734,255778497112
20000000,20000340,20000340,1472,19,152,1143,10.95,151,0,130568270716,138027046483
50000000,50000669,50000669,1472,51,139,585,58.02,134,0,58558153931,67542022447
100000000,100000399,100000399,1472,105,174,510,93.99,136,0,34187536698,43896544616
200000000,200004741,199998741,1472,89,221,665,110.64,170,0,21785827978,32226027277
300000000,300003215,300001714,1472,82,282,571,112.58,280,0,16198563169,28271251644
400000000,400010903,399998903,1472,154,373,771,85.96,381,0,14399303155,26285656760
500000000,500006898,499994398,1472,360,571,933,72.09,561,0,12890327966,25071907211
600000000,600007845,600001845,1472,625,751,901,49.99,750,0,11767658763,24283295091
700000000,700013298,699995797,1472,655,743,1258,36.77,749,0,10551830567,23814427602
800000000,800009374,800005373,1472,678,749,855,23.62,748,0,9512759445,23396015442
900000000,900009160,899995659,1472,705,749,1215,14.28,749,0,8506002206,23066463105
1000000000,957195350,999993919,1472,1274,1329,1416,10.63,1331,0,8016361404,23077341762
