Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,98,153,409,4.69,152,0,248146723312,255798821720
20000000,20000344,20000344,1472,12,138,1864,28.95,151,0,130225437879,138032648558
50000000,50000647,50000647,1472,85,138,463,19.39,138,0,58255760823,67537802454
100000000,100000562,100000562,1472,49,182,659,89.80,141,0,32996481334,43912370402
200000000,200001454,199999454,1472,98,241,493,115.84,245,0,21719361725,32226133967
300000000,300011459,300002459,1472,110,304,589,105.55,303,0,16640130948,28290117650
400000000,400003038,399999038,1472,200,392,910,75.91,399,0,14683949562,26288784928
500000000,499993311,499993311,1472,467,734,913,66.49,736,0,13245223574,25087097704
600000000,600000165,600003165,1472,618,729,904,48.70,729,0,11879925745,24264658480
700000000,700012882,699998882,1472,652,730,1024,33.09,729,0,10595054742,23816970355
800000000,800002104,800002104,1472,677,739,1071,24.12,738,0,9616705457,23394078808
900000000,900005377,900000877,1472,702,742,829,11.36,743,0,8544208439,23069532409
1000000000,958346784,999996914,1472,1299,1329,1395,6.08,1329,0,7797101013,22857209884
