Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,79,164,4908,49.60,162,0,249894346555,255975262280
20000000,20000342,20000342,1472,12,148,267,13.15,151,0,130417294304,138022142285
50000000,50000662,50000662,1472,78,133,407,11.18,136,0,58396677321,67531578925
100000000,100000887,100000387,1472,72,174,518,90.06,136,0,33940548518,43910591763
200000000,200002859,199998859,1472,79,210,530,107.83,148,0,20683540737,32226542517
300000000,300001208,300002708,1472,100,294,624,118.06,281,0,16445269998,28282384835
400000000,399999166,399997166,1472,167,365,999,84.58,376,0,14242789644,26286548325
500000000,500023591,499996089,1472,304,518,956,73.60,518,0,13084826636,25088306725
600000000,600010443,600001443,1472,636,754,971,49.79,753,0,11744016271,24265098642
700000000,700011999,699997999,1472,643,746,976,36.04,750,0,10627418313,23813380556
800000000,800005162,800009162,1472,667,754,943,24.92,753,0,9595636041,23394785238
900000000,900000648,900000648,1472,699,755,1213,15.94,754,0,8644159719,23069095004
1000000000,955866929,999993627,1472,1297,1336,1474,8.06,1338,0,8097829464,23067478759
