Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,48,141,264,18.06,150,0,248564683387,255787710489
20000000,20000342,20000342,1472,67,144,1941,34.60,151,0,130635292319,138033984484
50000000,50000595,50000595,1472,16,140,482,58.86,134,0,58507714576,67534107914
100000000,100000194,100000194,1472,101,188,541,86.39,151,0,34419414135,43907128085
200000000,200002698,199998698,1472,65,192,489,94.96,126,0,20986990706,32225426846
300000000,300004465,299999965,1472,94,283,561,111.75,285,0,16287355800,28289503241
400000000,400005127,399999127,1472,174,382,951,86.45,388,0,14324041819,26289313401
500000000,500011463,499993962,1472,347,581,953,77.52,575,0,12963540142,25089267596
600000000,600005705,600002705,1472,629,750,934,50.28,749,0,11793810294,24286911430
700000000,700031920,699996918,1472,632,739,985,36.86,738,0,10596279157,23816150883
800000000,800011140,800007140,1472,678,745,1160,24.04,744,0,9602258782,23395558374
900000000,900005205,900000705,1472,703,745,1319,16.97,744,0,8587082464,23065106846
1000000000,957562050,999996058,1472,1093,1333,1930,20.17,1333,0,7866460469,22885037602
