Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,81,154,671,10.00,152,0,248547623344,255795760126
20000000,20000340,20000340,1472,70,152,1762,15.20,151,0,130369246485,138029922151
50000000,50000658,50000658,1472,46,138,426,6.32,137,0,58364284102,67538589570
100000000,100000897,100000397,1472,72,177,712,94.41,137,0,34249218926,43913922081
200000000,200003576,199998576,1472,22,215,690,107.15,159,0,21465651301,32226690191
300000000,300002841,300001341,1472,88,291,560,112.61,287,0,15822348954,28292126714
400000000,400001509,400001509,1472,198,374,892,81.85,387,0,14287359107,26286779678
500000000,500012098,499994598,1472,388,612,913,82.70,607,0,12618059613,25085510645
600000000,600000660,600003660,1472,632,751,894,49.77,750,0,11478984185,24285625998
700000000,700003833,700000333,1472,657,745,956,35.54,749,0,10124605099,23817281676
800000000,799998980,800006980,1472,674,744,1092,24.68,743,0,8945004253,23396583839
900000000,900004432,900004432,1472,710,750,1218,14.18,750,0,7640926163,23060249726
1000000000,956714423,999994651,1472,1218,1336,1799,11.70,1336,0,6928995932,22882302389
