Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,37,129,4117,36.91,119,0,0,0
20000000,20000340,20000340,1472,28,152,1772,19.21,153,0,0,0
50000000,50000657,50000657,1472,70,139,435,6.56,139,0,0,0
100000000,99883304,100000668,1472,66,252,46610,1701.76,118,0,0,0
200000000,199509425,199999220,1472,74,287,46349,1474.59,193,0,0,0
300000000,298699611,300001942,1472,83,362,46561,1555.41,292,0,0,0
400000000,400004651,399998651,1472,202,392,940,80.02,398,0,0,0
500000000,500002413,499997412,1472,440,692,900,87.62,693,0,0,0
600000000,593995604,599997930,1472,611,818,47732,1734.65,744,0,0,0
700000000,700005860,699995360,1472,629,727,957,34.41,726,0,0,0
800000000,800001900,800005900,1472,665,741,1076,24.60,739,0,0,0
900000000,900002368,900002368,1472,686,745,1182,14.39,745,0,0,0
1000000000,957050750,999992929,1472,1287,1330,1410,8.37,1330,0,0,0
