Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,9,146,4261,46.57,153,0,248451661044,255965948199
20000000,20000342,20000342,1472,36,146,413,21.31,153,0,130011448810,138029806968
50000000,50000656,50000656,1472,9,135,430,12.53,139,0,57667592681,67517845956
100000000,99999890,99999890,1472,35,177,520,86.02,139,0,33559980961,43913143473
200000000,199999955,199998955,1472,82,208,565,108.11,143,0,19720928469,32225276597
300000000,299998925,300001925,1472,67,291,643,111.91,289,0,15896321376,28292192766
400000000,400005348,399999347,1472,190,379,665,87.02,386,0,14458317295,26270221531
500000000,500005968,499993468,1472,407,607,890,73.89,604,0,12479663286,25066687409
600000000,600002571,600002571,1472,628,761,1067,51.40,760,0,11619953985,24288216123
700000000,699994001,699997501,1472,631,749,884,37.97,751,0,10395460143,23812462925
800000000,800006927,800006927,1472,677,748,915,23.13,746,0,9427231268,23396801075
900000000,900007785,900003285,1472,688,747,839,11.92,747,0,8483965071,23067103642
1000000000,956733587,999991951,1472,1276,1329,1947,20.07,1330,0,7752951421,22998524485
