Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,69,122,4222,36.18,117,0,0,0
20000000,20000342,20000342,1472,13,146,1810,23.66,152,0,0,0
50000000,50000664,50000664,1472,16,131,444,13.78,136,0,0,0
100000000,100001169,100000669,1472,24,181,11620,181.84,139,0,0,0
200000000,200004422,199998422,1472,75,218,515,113.19,213,0,0,0
300000000,300002097,300002097,1472,95,306,636,111.00,288,0,0,0
400000000,399754836,399998685,1472,199,414,12609,383.97,401,0,0,0
500000000,500018150,499995649,1472,402,704,910,83.73,703,0,0,0
600000000,599997833,600003833,1472,611,740,878,50.50,740,0,0,0
700000000,700005393,699998393,1472,638,731,1235,36.52,730,0,0,0
800000000,789016481,800007482,1472,662,843,48244,1813.87,740,0,0,0
900000000,900010192,900001192,1472,701,743,1318,16.64,743,0,0,0
1000000000,956893577,999993619,1472,1293,1326,1414,11.09,1329,0,0,0
