Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,73,134,4653,97.98,126,0,248475709238,255777299281
20000000,20000344,20000344,1472,17,138,2117,68.91,127,0,130171470315,138024409720
50000000,50000607,50000607,1472,35,157,530,62.97,139,0,57819081464,67541091675
100000000,100000586,100000586,1472,16,176,626,86.83,142,0,33654716175,43911428198
200000000,199999960,199999960,1472,105,213,543,104.13,149,0,20310588341,32228136906
300000000,299997244,300001744,1472,118,292,589,103.72,266,0,16688568439,28290827965
400000000,400014384,399998384,1472,162,373,747,88.81,383,0,14365844774,26285097879
500000000,500001750,499994250,1472,329,552,954,76.20,536,0,12812919214,25065883604
600000000,600007921,600001921,1472,567,751,901,49.68,750,0,11620410230,24287537004
700000000,700008722,699998221,1472,635,744,990,36.73,749,0,10444643247,23813762609
800000000,800003599,800003599,1472,678,747,955,23.09,746,0,9434182205,23392259350
900000000,900000562,900000562,1472,697,749,1243,17.15,748,0,8499202938,23064848633
1000000000,956755918,999992509,1472,1252,1329,1658,10.91,1331,0,7796845940,22991405273
