Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,69,125,4336,29.63,117,0,248701209438,255777003670
20000000,20000342,20000342,1472,26,142,271,18.19,150,0,130349426518,138020844603
50000000,50000658,50000658,1472,79,140,709,11.00,137,0,59129805689,67540409560
100000000,100000725,100000725,1472,17,170,571,92.19,135,0,33953375064,43912370522
200000000,200004601,199998601,1472,98,215,535,107.94,160,0,21127368699,32227464486
300000000,299998647,300003147,1472,98,282,569,111.36,281,0,16094793583,28272174596
400000000,400003496,399999496,1472,197,373,881,87.80,378,0,14931010213,26285005076
500000000,499990791,499995789,1472,344,595,956,93.96,582,0,12860828603,25067685913
600000000,599997260,600000259,1472,624,754,1038,50.57,753,0,11669946130,24282306767
700000000,700009243,699998743,1472,657,745,884,35.99,749,0,10405820106,23813796040
800000000,800006384,800006384,1472,679,744,833,23.39,744,0,9307721397,23393635515
900000000,900006150,899997150,1472,692,747,968,13.08,747,0,8078620198,23064478803
1000000000,957304290,999992977,1472,1289,1334,1381,7.68,1334,0,7343296970,23044650957
