Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,64,131,4680,35.13,119,0,248240902339,255970445752
20000000,20000341,20000341,1472,75,150,492,25.44,156,0,130521203292,138028363532
50000000,50000665,50000665,1472,71,148,508,50.75,138,0,57861623786,67534839553
100000000,100001060,100000560,1472,15,185,619,98.14,139,0,33679635238,43907530682
200000000,200000037,199998037,1472,73,208,612,102.71,141,0,20607009358,32227683156
300000000,300001629,300003129,1472,106,294,560,113.28,275,0,16901751440,28282770636
400000000,400000881,400000881,1472,153,375,678,87.84,380,0,14432531168,26271238726
500000000,499995991,499995991,1472,385,579,923,75.22,574,0,12686135454,25086490731
600000000,600004329,600001328,1472,636,757,932,50.61,756,0,11637194534,24279517710
700000000,700006953,699996453,1472,659,747,1000,36.50,750,0,10426913770,23810766033
800000000,800012227,800004226,1472,688,751,876,24.10,750,0,9429919533,23392953841
900000000,900001422,900001422,1472,714,752,1346,16.40,751,0,8484364356,23065900793
1000000000,957066583,999993981,1472,1301,1333,1941,14.32,1331,0,7803115851,23050730123
