Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,27,147,4159,36.62,150,0,248645758726,255789754874
20000000,20000342,20000342,1472,73,149,274,10.77,151,0,130333492984,138029687561
50000000,50000656,50000656,1472,45,134,425,13.27,136,0,58859169197,67538236320
100000000,100000385,100000385,1472,78,181,699,98.81,138,0,34172695590,43911168449
200000000,200002660,199998660,1472,103,209,543,104.71,147,0,21157304907,32223489090
300000000,300004629,300000129,1472,29,281,548,112.80,272,0,16800233990,28292217310
400000000,400008677,399998677,1472,152,378,770,85.91,384,0,14387484487,26270525037
500000000,499992223,499994723,1472,395,578,899,68.40,575,0,12754773075,25088714400
600000000,600007387,600004387,1472,626,750,897,49.38,749,0,11742921656,24284068809
700000000,699998683,699995183,1472,635,744,981,36.77,749,0,10464332588,23813862998
800000000,800003191,800003191,1472,670,755,1317,33.57,751,0,9428311452,23391928275
900000000,900004260,900004260,1472,705,747,1229,16.52,746,0,8400733311,23059833951
1000000000,957781954,999994565,1472,1298,1337,1940,12.88,1337,0,7607002377,22877164323
