Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,62,133,355,21.02,149,0,248648198161,255797754850
20000000,20000342,20000342,1472,16,131,2141,33.94,128,0,131222731873,138210442069
50000000,50000664,50000664,1472,46,130,408,12.00,135,0,58818799769,67542104952
100000000,100000680,100000680,1472,24,180,785,95.28,136,0,34289425120,43893780123
200000000,200003237,199999237,1472,31,206,549,104.70,142,0,21590755493,32226786370
300000000,300000177,300001676,1472,79,276,594,113.77,265,0,16529544842,28290071388
400000000,400002240,400000240,1472,156,367,650,88.56,374,0,14621094323,26269999473
500000000,499995168,499995168,1472,348,560,904,72.62,549,0,12884240036,25088682510
600000000,600004826,600001826,1472,634,752,951,49.68,752,0,11774857798,24270102641
700000000,700004509,699997509,1472,643,742,867,34.80,748,0,10680326268,23813148917
800000000,800000678,800004678,1472,677,749,846,22.98,748,0,9666074336,23393191796
900000000,900000132,900000132,1472,703,754,833,14.00,753,0,8717595821,23065203240
1000000000,956940400,999995142,1472,1299,1336,1416,8.06,1336,0,8101894749,23039903523
