Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,68,130,261,20.57,122,0,248680238989,255800134363
20000000,20000344,20000344,1472,9,139,2063,36.51,149,0,130826803825,138031676035
50000000,50000668,50000668,1472,50,130,327,16.22,134,0,59304166695,67544765705
100000000,100000674,100000674,1472,73,131,501,13.67,133,0,34408484183,43910971963
200000000,200000932,199998932,1472,89,228,609,111.88,193,0,21940700123,32229137233
300000000,300002402,300000902,1472,86,279,562,114.28,275,0,16207995491,28275374200
400000000,400008507,400000506,1472,153,371,668,89.25,378,0,14484883261,26279024015
500000000,500015072,499995071,1472,290,505,975,85.23,500,0,13095895676,25089049514
600000000,600012582,600000582,1472,622,755,925,50.65,754,0,11807489812,24283244954
700000000,700013819,699996319,1472,647,749,903,37.26,751,0,10645347537,23814912479
800000000,800012769,800008769,1472,680,749,820,22.93,748,0,9584468869,23394731629
900000000,900004431,899999931,1472,697,756,853,15.43,756,0,8643769597,23065711037
1000000000,957952940,999995079,1472,1298,1337,1425,7.94,1338,0,7955953521,23005542760
