Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,78,146,4412,56.75,150,0,249330377445,255974879402
20000000,20000344,20000344,1472,38,135,222,20.17,149,0,130563665288,138031537630
50000000,50000673,50000673,1472,16,121,402,14.04,116,0,58893973477,67536323599
100000000,100001098,100000598,1472,28,162,527,88.08,117,0,34131710823,43914193154
200000000,200001738,199999738,1472,74,206,518,109.67,139,0,20914930779,32225424875
300000000,299994397,300003396,1472,88,288,596,115.18,276,0,16941778198,28290906483
400000000,400005027,399997025,1472,184,380,928,89.02,382,0,14117725707,26286819482
500000000,500007110,499997110,1472,305,549,1013,78.27,535,0,13058966711,25084501606
600000000,600000317,600000317,1472,620,759,952,51.07,759,0,11792470994,24265519914
700000000,700008305,699997805,1472,635,752,1035,37.71,753,0,10642304319,23814253072
800000000,799969497,800009495,1472,674,755,1366,27.84,754,0,9635242320,23392312406
900000000,900011051,899997551,1472,693,752,1192,16.00,751,0,8669441628,23067688967
1000000000,957263573,999994237,1472,1292,1338,1900,13.64,1338,0,8075587762,23077782414
