Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,69,121,312,17.52,116,0,247983179261,255785924133
20000000,20000342,20000342,1472,18,145,2000,24.43,151,0,130575472366,138208298841
50000000,50000658,50000658,1472,55,139,249,6.86,137,0,58637813610,67521095323
100000000,100000959,100000459,1472,106,179,652,95.16,137,0,34083777278,43911958004
200000000,200004219,199999219,1472,44,203,528,104.42,135,0,20259880040,32225425443
300000000,300002192,300000692,1472,111,302,701,113.76,287,0,17477783932,28275389396
400000000,399995853,399999853,1472,186,385,738,85.86,389,0,14424429978,26287897237
500000000,499985004,499995004,1472,373,612,922,88.96,603,0,12849237711,25088223039
600000000,600005513,600005513,1472,635,751,902,50.24,751,0,11671570807,24285518359
700000000,700008252,699994252,1472,655,738,848,34.68,738,0,10418526022,23814265310
800000000,800005840,800005840,1472,679,748,2998,31.26,747,0,9340656483,23392620842
900000000,900005893,900001393,1472,689,747,829,12.17,747,0,8134784577,23058272409
1000000000,957000426,999998134,1472,1197,1334,1741,11.00,1334,0,7367645190,23044929995
