Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,11,135,4064,58.25,140,0,248900238462,255798627803
20000000,20000344,20000344,1472,49,137,2121,20.81,149,0,130653769029,138041594073
50000000,50000662,50000662,1472,47,130,381,12.41,135,0,58614983528,67519966652
100000000,100001669,100000669,1472,97,177,512,95.39,136,0,34090758582,43908138469
200000000,200001378,199998378,1472,26,210,526,105.54,147,0,21284553713,32225410754
300000000,300004504,300001504,1472,113,301,636,113.45,285,0,17140956137,28291135923
400000000,400001238,400001238,1472,191,386,989,88.39,388,0,14280785947,26287473850
500000000,500008676,499996176,1472,351,588,930,80.37,580,0,12808261185,25085763965
600000000,600012621,600000621,1472,626,752,906,50.18,751,0,11725634863,24285285630
700000000,700000712,699997212,1472,654,740,960,34.99,739,0,10515135862,23815064006
800000000,800010188,800006188,1472,679,754,946,25.26,753,0,9384977847,23393992837
900000000,899928861,900000855,1472,696,749,1176,14.04,749,0,8223894451,23065955532
1000000000,956966688,999995350,1472,1034,1332,1765,17.64,1332,0,7638257377,23059334487
