Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,73,131,4354,68.41,118,0,248673071991,255788237295
20000000,20000346,20000346,1472,14,119,1975,23.64,116,0,130681029803,138027249375
50000000,50000674,50000674,1472,14,118,382,11.31,116,0,58528693870,67541687602
100000000,100000357,100000357,1472,16,173,527,92.22,133,0,34368068181,43903740007
200000000,200005111,199999111,1472,19,210,551,106.96,149,0,20879549623,32225078649
300000000,300007734,300000233,1472,97,295,598,114.79,282,0,16793821691,28273605725
400000000,399997655,399999655,1472,161,373,717,87.37,383,0,14433409142,26287372525
500000000,500007401,499994901,1472,349,573,902,74.25,564,0,12876485536,25084361868
600000000,600010061,600004060,1472,623,753,889,50.25,752,0,11740667137,24286411488
700000000,700004299,699993799,1472,644,747,865,35.92,750,0,10559196860,23813582390
800000000,800004550,800004550,1472,674,749,859,23.47,748,0,9535260062,23393452397
900000000,899969781,899996780,1472,689,752,1296,18.30,750,0,8653196304,23066728471
1000000000,956775569,999993779,1472,1119,1338,1847,12.08,1339,0,7894314863,22970894083
