Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,27,151,291,4.69,151,0,248242933885,255793298755
20000000,20000345,20000345,1472,16,128,1995,27.33,117,0,130943365551,138025927853
50000000,50000650,50000650,1472,90,142,800,13.64,138,0,58959882647,67517318233
100000000,100000207,100000207,1472,64,178,523,93.94,137,0,33838435121,43895328161
200000000,200003578,199998578,1472,85,210,514,108.67,147,0,20944851010,32223811884
300000000,299999384,300002384,1472,75,296,626,118.55,281,0,17160538820,28289085724
400000000,400012837,399998837,1472,158,368,665,89.87,377,0,14418471036,26287234932
500000000,500003768,499996267,1472,347,546,911,74.79,534,0,12988711814,25062834918
600000000,600003106,600003106,1472,636,753,895,49.85,752,0,11751653466,24284986746
700000000,700013455,699995955,1472,664,744,849,35.00,749,0,10613816513,23813641082
800000000,800002783,800006783,1472,687,752,1171,25.14,751,0,9581293544,23395526072
900000000,900009848,900000848,1472,715,760,855,15.56,758,0,8634346344,23060727547
1000000000,957114650,999993336,1472,1285,1337,1885,13.15,1338,0,8042718030,23080233798
