Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,73,147,4137,20.88,154,0,248176403042,255968514973
20000000,20000342,20000342,1472,46,145,1975,20.17,153,0,129607819962,138035766994
50000000,50000650,50000650,1472,106,163,709,66.44,141,0,57700672039,67537883038
100000000,100001174,100000674,1472,101,195,532,104.12,141,0,33075463355,43895708129
200000000,200000724,199999724,1472,74,219,544,112.90,174,0,19445294304,32228833749
300000000,300006873,300000873,1472,108,304,645,116.27,296,0,15889683481,28291164635
400000000,400003989,399999989,1472,186,400,1010,89.74,404,0,13843167033,26288145007
500000000,499997980,499995480,1472,452,719,898,75.62,719,0,12129561993,25088097720
600000000,600008875,600002875,1472,635,749,977,49.88,748,0,10874987584,24264600434
700000000,699997956,699997956,1472,653,741,850,34.58,746,0,9414183870,23814309634
800000000,800009916,800005916,1472,677,746,846,24.02,745,0,8245401103,23393764589
900000000,899991448,900000448,1472,686,745,1302,17.09,746,0,7020892873,23066999961
1000000000,957189621,999994002,1472,1295,1332,1411,9.17,1331,0,6529540426,23051209493
