Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,76,141,4029,28.43,150,0,248582808747,255797343320
20000000,20000346,20000346,1472,15,129,2175,25.10,120,0,130905468870,138029929563
50000000,50000663,50000663,1472,50,144,594,62.55,135,0,58727417903,67541383211
100000000,100000676,100000676,1472,66,178,523,96.53,136,0,34243023693,43911804969
200000000,200000499,199998499,1472,88,209,537,106.16,143,0,20902076245,32226035835
300000000,300000521,300003521,1472,108,286,586,110.51,283,0,16218259296,28290827670
400000000,400009612,400001611,1472,163,375,655,88.05,380,0,14907901379,26269288199
500000000,500010560,499995559,1472,352,620,904,83.86,615,0,12806785492,25067710449
600000000,600008878,599999876,1472,629,756,889,50.88,755,0,11678750521,24264151313
700000000,700007994,699997494,1472,656,741,954,35.00,741,0,10464406420,23814378690
800000000,800010257,800006257,1472,679,745,826,23.24,745,0,9392474193,23395704651
900000000,900007354,899998354,1472,710,753,829,13.15,754,0,8199740008,23066185362
1000000000,958291853,999995831,1472,1304,1334,1878,12.65,1334,0,7328721305,22858357651
