Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,13,142,3834,39.80,150,0,248787674211,255781986842
20000000,20000340,20000340,1472,24,153,307,8.25,151,0,130732212253,138014570996
50000000,50000649,50000649,1472,18,140,698,11.62,137,0,59146738977,67534790093
100000000,100000682,100000182,1472,78,176,516,92.91,136,0,34042059697,43910514014
200000000,200001136,199998136,1472,56,237,659,110.67,217,0,22411546818,32227011852
300000000,300005909,300002909,1472,105,273,556,113.13,265,0,16432947951,28271534576
400000000,400004023,400000023,1472,167,368,633,82.19,378,0,14220737857,26287195069
500000000,499998538,499993538,1472,316,539,1015,78.17,525,0,12985859363,25066773639
600000000,600008838,599999838,1472,638,758,900,50.99,757,0,11814708475,24286754745
700000000,699993638,699997138,1472,631,749,877,36.55,753,0,10680588032,23816190523
800000000,799998911,800006911,1472,672,753,857,25.44,751,0,9631578835,23392910282
900000000,900000992,900000992,1472,696,752,829,12.92,751,0,8629488215,23057143203
1000000000,957070204,999995962,1472,1287,1333,1407,9.59,1332,0,7935082549,22884063850
