Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,77,136,905,20.30,149,0,248581547683,255972066972
20000000,20000345,20000345,1472,45,122,387,17.09,116,0,130377861919,138036490322
50000000,50000663,50000663,1472,20,131,423,13.60,136,0,58497684138,67538573484
100000000,100000481,100000481,1472,69,173,625,92.62,127,0,34091990582,43914881164
200000000,200004596,199998596,1472,75,215,575,104.67,154,0,21501562328,32224613833
300000000,300001733,300001733,1472,87,279,557,110.78,281,0,16529524977,28276595201
400000000,400000626,400000626,1472,175,370,906,88.71,377,0,14528944888,26270912039
500000000,500007800,499995299,1472,347,608,889,85.36,600,0,12746675695,25086542360
600000000,600008150,600002150,1472,628,754,925,50.32,753,0,11674642681,24265066954
700000000,700009086,699998585,1472,654,742,854,35.72,749,0,10441832931,23813433827
800000000,800003055,800007055,1472,662,744,907,23.45,743,0,9354570791,23392982641
900000000,900008645,900004145,1472,713,749,830,12.33,749,0,8181161996,23068522165
1000000000,957625816,999995420,1472,1293,1329,1406,10.49,1330,0,7417681052,23020598446
