Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,36,141,441,18.08,151,0,248442810089,255786386964
20000000,20000340,20000340,1472,77,148,1865,55.09,151,0,130651370446,138027414613
50000000,50000652,50000652,1472,30,155,641,62.01,150,0,59117709356,67541945609
100000000,100000641,100000141,1472,79,175,525,93.77,137,0,33843493793,43909574274
200000000,200000338,199998338,1472,63,202,514,103.16,135,0,20953043295,32225333838
300000000,299999030,300000530,1472,106,298,621,117.53,284,0,16747409891,28288789080
400000000,400009781,399997781,1472,153,372,662,87.66,378,0,14269548591,26289100366
500000000,500009949,499994949,1472,330,548,1037,69.12,538,0,12815860188,25065352114
600000000,600006774,600000774,1472,637,760,923,51.46,759,0,11736296769,24286762563
700000000,700009346,699998846,1472,654,746,869,35.28,750,0,10534592526,23812038963
800000000,800006995,800006995,1472,672,751,864,23.98,750,0,9537163125,23396807114
900000000,900005549,900001049,1472,694,751,843,13.38,749,0,8580211503,23066127841
1000000000,957341984,999994547,1472,1290,1337,1417,6.93,1337,0,7824323037,22852677156
