Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,33,124,468,19.34,116,0,248723469895,255968514877
20000000,20000346,20000346,1472,69,124,2074,24.25,117,0,130738019400,138027262604
50000000,50000580,50000580,1472,68,129,564,63.57,109,0,58718163291,67543308452
100000000,100001644,100000643,1472,13,178,569,87.42,137,0,34334432247,43908829514
200000000,200001128,199998128,1472,87,208,516,105.19,143,0,21577186916,32226162282
300000000,300007074,300001074,1472,75,280,636,113.69,272,0,16760475199,28279908361
400000000,400000116,399998116,1472,180,391,968,87.28,393,0,14256863630,26290012879
500000000,500010109,499995108,1472,374,591,912,82.36,580,0,12900539967,25066566677
600000000,600006087,600000086,1472,620,753,933,49.99,753,0,11718029451,24285085831
700000000,700008201,699997701,1472,633,743,1131,37.47,748,0,10469144584,23816632197
800000000,800007132,800007132,1472,666,750,873,25.65,749,0,9374372652,23392266712
900000000,900006151,900001651,1472,690,744,837,11.92,745,0,8219987706,23066685075
1000000000,957233617,999996300,1472,1047,1332,1771,16.46,1331,0,7422836511,22981846650
