Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,46,153,4094,16.88,151,0,248886295797,255967875239
20000000,20000344,20000344,1472,69,143,1974,25.69,150,0,130949868142,138028842687
50000000,50000662,50000662,1472,14,149,639,68.25,135,0,58871137010,67541638480
100000000,100000638,100000638,1472,39,175,503,99.38,135,0,34236574865,43912529370
200000000,200002529,199999529,1472,74,207,602,104.80,140,0,20946959469,32224335359
300000000,300002899,300002899,1472,90,296,618,113.13,292,0,16169393030,28289665597
400000000,400003717,399999716,1472,201,399,956,85.88,399,0,14021567886,26288226320
500000000,500026139,499996136,1472,413,646,912,85.86,644,0,12435915069,25085947911
600000000,600010023,600001022,1472,636,750,887,49.75,748,0,11140899211,24282816677
700000000,700000972,699997472,1472,655,741,1025,35.20,748,0,9666298074,23813582196
800000000,800006792,800006792,1472,679,744,1097,24.37,743,0,8447202688,23397175630
900000000,900004345,899999845,1472,713,746,1214,13.96,745,0,7126515201,23063242812
1000000000,958307842,999992820,1472,1305,1334,1411,7.00,1334,0,6421335612,23002023668
