Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,18,135,4173,33.66,149,0,248881908925,255798066366
20000000,20000346,20000346,1472,41,136,276,21.38,149,0,130614663947,138040653802
50000000,50000648,50000648,1472,46,138,425,8.43,137,0,58735242283,67517629202
100000000,100001641,100000641,1472,19,181,533,95.75,137,0,34273453604,43911991646
200000000,200002572,199998572,1472,94,211,527,109.33,159,0,20563821240,32227165386
300000000,300002537,300002536,1472,95,288,579,112.71,283,0,16322241321,28288547722
400000000,399997146,399999145,1472,182,384,952,86.47,388,0,14385915268,26270982565
500000000,500006182,499996182,1472,357,596,885,80.02,588,0,12840912918,25083906895
600000000,599998216,600001216,1472,629,759,898,51.21,758,0,11708878666,24288712205
700000000,700003625,699996624,1472,656,742,953,35.47,748,0,10456722536,23815951083
800000000,800002850,800006850,1472,671,744,841,23.56,744,0,9358846437,23392520766
900000000,900006753,900002253,1472,700,746,1201,13.93,745,0,8176071742,23069470003
1000000000,956721529,999992893,1472,1293,1331,1877,14.28,1331,0,7410917578,23018781563
