Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,85,142,4076,39.34,152,0,248376511361,255784169998
20000000,20000338,20000338,1472,9,153,335,6.00,153,0,129616694417,138032457952
50000000,50000658,50000658,1472,33,140,442,7.35,139,0,57851749213,67540882597
100000000,100001517,100000517,1472,105,187,674,93.35,142,0,33630631176,43916106527
200000000,200000082,200000082,1472,111,219,534,100.19,160,0,20842735584,32226214673
300000000,300006539,300003539,1472,105,292,614,111.73,289,0,15571108583,28290539327
400000000,399994937,399996936,1472,171,379,872,88.09,385,0,14207076907,26288597828
500000000,500005146,499992646,1472,385,595,905,76.36,589,0,12655455883,25085802169
600000000,600001082,600004082,1472,638,751,883,49.54,750,0,11587226244,24284338607
700000000,700001856,699998356,1472,656,741,951,34.79,748,0,10391484973,23814476590
800000000,800008491,800004491,1472,672,752,891,24.17,753,0,9408595415,23393744114
900000000,900007440,899998440,1472,680,751,977,14.00,750,0,8468936119,23065942630
1000000000,957195210,999993717,1472,1291,1337,1416,6.32,1339,0,7727822666,22887872887
