Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,27,144,4040,30.03,150,0,248637693017,255791118362
20000000,20000342,20000342,1472,11,141,269,17.89,150,0,130416631923,138026343921
50000000,50000535,50000535,1472,22,173,497,83.55,137,0,58599023240,67518574517
100000000,99999888,99999888,1472,73,169,508,92.72,132,0,34322439472,43912332014
200000000,199999989,199998989,1472,79,209,528,104.81,143,0,21253663601,32228789350
300000000,300004313,300002813,1472,93,284,548,111.76,284,0,16196507265,28292202016
400000000,400002987,399998987,1472,172,371,755,88.74,377,0,14471340022,26283469131
500000000,500001325,499996325,1472,355,588,935,82.17,579,0,12793274141,25078525039
600000000,600008570,600002570,1472,636,749,896,49.72,748,0,11661428958,24285064119
700000000,700002741,699999240,1472,652,744,979,36.73,749,0,10414112843,23812327210
800000000,800002172,800006172,1472,676,748,1172,25.06,746,0,9319786879,23393408158
900000000,900001766,900001766,1472,704,746,1318,16.46,744,0,8123884540,23062359546
1000000000,956277271,999993092,1472,1169,1335,1921,13.00,1335,0,7300165450,22936195517
