Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,64,143,615,18.25,150,0,248860572884,255967447006
20000000,20000344,20000344,1472,38,133,377,21.31,135,0,130742975849,138206519080
50000000,50000661,50000661,1472,16,132,560,55.29,115,0,58599628564,67538711992
100000000,100001639,100000639,1472,24,180,568,94.60,137,0,34149618623,43891345002
200000000,200002880,199998880,1472,80,208,546,108.23,151,0,20725075881,32225785527
300000000,300000187,300003187,1472,84,281,592,114.43,279,0,16978442846,28289880313
400000000,400006554,400000553,1472,154,371,661,88.62,377,0,14727328740,26288426214
500000000,499998963,499993963,1472,322,540,956,75.42,531,0,13121531801,25090962932
600000000,600002762,599999762,1472,628,752,878,50.01,752,0,11786898914,24288270834
700000000,700004613,699997613,1472,655,739,966,34.71,739,0,10591956895,23817389200
800000000,799996126,800004126,1472,679,748,1071,25.14,747,0,9575154756,23395178884
900000000,900000992,900000992,1472,692,745,1201,14.11,744,0,8571984936,23060285646
1000000000,956990996,999994582,1472,1287,1333,1404,7.94,1333,0,7929630599,23042184875
