Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,15,152,4425,17.12,151,0,248629871191,255786071727
20000000,20000342,20000342,1472,27,144,247,15.39,150,0,130616851416,138041377317
50000000,50000657,50000657,1472,11,137,306,6.86,136,0,58573313766,67540845130
100000000,100000507,100000507,1472,47,171,518,83.47,136,0,33976946980,43895017081
200000000,200000274,199999274,1472,97,208,542,108.77,143,0,21207760980,32227792278
300000000,300000377,300001877,1472,103,280,570,114.50,274,0,16177602122,28294998602
400000000,399997128,399999128,1472,206,373,738,86.64,380,0,14543287731,26270195119
500000000,500013108,499995608,1472,293,503,968,81.08,501,0,13154548449,25087178090
600000000,599999323,599999323,1472,625,755,896,49.93,754,0,11818196762,24286998919
700000000,700008877,699994877,1472,664,746,965,35.28,750,0,10656499189,23817286170
800000000,799998640,800002640,1472,666,753,1167,25.94,753,0,9647974268,23393955477
900000000,900010020,900001020,1472,714,755,863,13.78,755,0,8676638166,23068225683
1000000000,957092007,999996608,1472,1304,1336,1428,8.06,1337,0,8039917107,23051442065
