Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,83,141,261,17.20,150,0,248495959000,255791989808
20000000,20000344,20000344,1472,16,142,2240,31.98,150,0,130935643141,138035866012
50000000,50000650,50000650,1472,18,145,568,43.28,136,0,59124975743,67535801135
100000000,100000638,100000638,1472,81,176,509,97.40,136,0,34445723260,43913063952
200000000,199997612,199997612,1472,23,218,629,109.77,156,0,21833442106,32224582090
300000000,300003864,300002364,1472,106,271,574,112.54,262,0,16403418937,28291086853
400000000,400001153,399997153,1472,158,372,911,88.57,378,0,14207846126,26288904600
500000000,500012179,499994678,1472,328,535,959,73.48,524,0,12969795122,25084187203
600000000,600010099,600001099,1472,638,752,885,49.52,752,0,11794085245,24285515449
700000000,700005288,699994788,1472,641,746,870,35.54,750,0,10649680805,23816433960
800000000,800008490,800004490,1472,673,750,1075,24.62,749,0,9615909106,23393729610
900000000,900014663,900001163,1472,700,757,848,14.32,756,0,8646349555,23058640556
1000000000,957779080,999995056,1472,1285,1336,1420,7.94,1336,0,7983220562,22994252248
