Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,75,144,266,15.43,150,0,248558308353,255965758809
20000000,20000342,20000342,1472,72,146,307,14.35,151,0,130650393375,138207790629
50000000,50000503,50000503,1472,73,149,561,57.38,137,0,58803250958,67541703735
100000000,100000861,99999861,1472,89,178,570,94.30,137,0,34369349686,43911748883
200000000,200000227,199999227,1472,19,201,491,99.07,136,0,21264327771,32223804047
300000000,300003167,300003167,1472,86,283,651,111.26,285,0,16715988681,28288407043
400000000,400006842,400000842,1472,173,380,942,88.03,386,0,14339541146,26288701155
500000000,500003342,499993341,1472,400,612,909,78.04,607,0,12830317416,25082422313
600000000,600015373,600003373,1472,628,755,952,50.75,753,0,11696566560,24282185003
700000000,700008929,699994929,1472,652,740,973,35.92,741,0,10450283052,23815117756
800000000,800004006,800008006,1472,665,745,827,23.41,744,0,9340478377,23389856880
900000000,900002883,899998383,1472,712,749,825,12.53,748,0,8188378416,23066656477
1000000000,956747330,999995894,1472,1276,1334,1898,14.25,1334,0,7488980439,23054964952
