Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,71,146,4265,27.96,151,0,248777453943,255977302160
20000000,20000340,20000340,1472,103,152,2019,24.31,151,0,130580372214,138035138800
50000000,50000658,50000658,1472,19,155,482,65.16,136,0,58435256322,67530014491
100000000,100001699,100000699,1472,103,183,516,101.52,136,0,34274841881,43914937958
200000000,200002155,199999155,1472,53,225,623,109.06,155,0,21894313811,32224970436
300000000,300002498,300002498,1472,106,284,549,110.15,283,0,16464800777,28290933195
400000000,400007760,400001760,1472,175,375,693,85.84,384,0,14605182502,26271175290
500000000,500003660,499993660,1472,391,587,910,75.50,579,0,12854287528,25086979321
600000000,600004864,600001864,1472,628,753,881,50.53,752,0,11732100747,24265394279
700000000,700009606,699995605,1472,646,738,1027,36.07,738,0,10564883654,23814073035
800000000,799994699,800006699,1472,678,748,858,24.43,748,0,9569043136,23394508089
900000000,900002970,900002970,1472,709,745,833,11.66,745,0,8544960970,23064473047
1000000000,956958844,999995221,1472,1302,1333,1878,16.12,1332,0,7935490656,23060464808
