Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,85,149,257,11.00,151,0,248383786424,255789631758
20000000,20000344,20000344,1472,42,139,255,18.63,150,0,130037288230,138023160121
50000000,50000649,50000649,1472,41,146,333,11.83,149,0,59234263901,67515662392
100000000,100000663,100000663,1472,17,176,503,85.39,137,0,34516724327,43911715325
200000000,200002746,199998746,1472,90,198,512,98.42,132,0,21013591665,32223563236
300000000,300001906,300001906,1472,110,289,609,112.17,281,0,16452504440,28275630439
400000000,399998351,400000351,1472,160,368,738,81.41,380,0,14492250048,26289109640
500000000,500011542,499994041,1472,350,593,888,74.17,588,0,12756452208,25068022988
600000000,600005705,600002705,1472,629,752,955,50.39,750,0,11674807213,24286115768
700000000,700008253,699994253,1472,655,743,940,36.78,749,0,10426719686,23812315567
800000000,800010053,800006053,1472,678,747,853,24.43,746,0,9359640074,23392255405
900000000,899860609,900004586,1472,648,744,1187,14.28,743,0,8196032626,23067082917
1000000000,957034040,999995887,1472,1017,1332,1778,14.39,1332,0,7399563394,22879202147
