Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,63,152,473,5.74,151,0,248659247099,255796411757
20000000,20000342,20000342,1472,99,151,432,8.31,152,0,130363296244,138207633039
50000000,50000656,50000656,1472,10,140,407,8.43,137,0,58742901349,67542833633
100000000,100001514,100000514,1472,17,182,564,99.83,137,0,33928958056,43911040951
200000000,200005824,199998824,1472,77,213,543,108.08,154,0,21256020105,32224636521
300000000,299996136,300002136,1472,95,292,659,113.60,280,0,16389909233,28275675078
400000000,400005977,399999977,1472,156,374,769,87.10,379,0,14529257400,26285860532
500000000,500006314,499996313,1472,412,617,905,77.75,614,0,12752864146,25089099283
600000000,600001654,600004654,1472,635,752,922,50.02,751,0,11563225245,24283039676
700000000,700001232,699997732,1472,645,740,919,34.54,741,0,10243128381,23814306162
800000000,800005637,800001637,1472,678,747,881,23.73,746,0,9076630563,23393369514
900000000,900006581,900002081,1472,688,748,1012,12.53,749,0,7797813825,23069010156
1000000000,956804413,999993691,1472,1234,1333,1813,14.07,1333,0,6984074543,22883866715
