Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,59,144,4442,49.60,151,0,248849042227,255793828596
20000000,20000344,20000344,1472,27,138,2190,32.16,150,0,130875696670,138207482249
50000000,50000655,50000655,1472,75,136,449,16.70,136,0,58950644038,67541589119
100000000,100001569,100000069,1472,80,178,544,90.64,137,0,33890920211,43911324719
200000000,200002430,199998430,1472,63,209,551,108.60,153,0,20840237785,32223110690
300000000,300003195,300001695,1472,72,278,605,114.07,275,0,16231332550,28286615285
400000000,399998146,399998146,1472,182,381,942,88.93,385,0,14000573799,26285320312
500000000,499997053,499994552,1472,323,555,958,75.06,544,0,12938581024,25084086353
600000000,600004788,600001788,1472,638,752,972,49.62,751,0,11745674236,24283839471
700000000,700006485,699995984,1472,647,743,1041,34.67,749,0,10585396900,23813852520
800000000,800003939,800007939,1472,665,753,962,23.87,752,0,9591103194,23392067910
900000000,900011653,899998153,1472,694,756,957,15.46,755,0,8641645865,23062049188
1000000000,956656686,999991585,1472,1292,1338,1421,7.55,1338,0,7917436841,22882796925
