Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,85,136,250,19.70,150,0,248366926829,255790436273
20000000,20000342,20000342,1472,59,145,437,23.11,151,0,130450165567,138027924830
50000000,50000655,50000655,1472,66,137,807,18.17,138,0,58412946383,67518024494
100000000,100001683,100000683,1472,9,168,509,87.30,136,0,33487800382,43914126639
200000000,200003356,199999356,1472,90,240,479,112.58,245,0,21134564779,32226662718
300000000,299997692,300000692,1472,87,296,605,110.29,293,0,16615602915,28292554560
400000000,400002426,400000426,1472,209,397,938,84.77,399,0,14649770415,26288405042
500000000,500016479,499996477,1472,395,706,934,83.32,706,0,13241487601,25084155000
600000000,600007998,600001998,1472,623,730,879,48.66,730,0,11929093954,24287560164
700000000,700006589,699996089,1472,631,731,1019,34.74,731,0,10590576278,23811643001
800000000,800008423,800004423,1472,668,735,1083,24.04,734,0,9530354852,23392565564
900000000,900004174,900004174,1472,692,742,924,12.37,743,0,8482829842,23068504400
1000000000,956052949,999995244,1472,1301,1331,1408,7.48,1330,0,7775936572,23061269598
